gene_id	feature_id	RK002.N	RK002.T	RK019.N	RK019.T	RK021.N	RK021.T
ALB	ENST00000295897.9	0.925393085683567	0.931142338216761	0.925393085683567	0.931142338216761	0.925393085683567	0.931142338216761
ALB	ENST00000503124.5	0.0323982099668334	0.0302142088720727	0.0323982099668334	0.0302142088720727	0.0323982099668334	0.0302142088720727
ALB	ENST00000511370.1	0.0272932155099748	0.0247789472955219	0.0272932155099748	0.0247789472955219	0.0272932155099748	0.0247789472955219
ALB	ENST00000415165.6	0.014915488839625	0.0138645056156441	0.014915488839625	0.0138645056156441	0.014915488839625	0.0138645056156441
SCP2	ENST00000371514.8	0.716079584215835	0.496074922283396	0.716079584215835	0.496074922283396	0.716079584215835	0.496074922283396
SCP2	ENST00000478631.6	0.111572112327537	0.142506847796853	0.111572112327537	0.142506847796853	0.111572112327537	0.142506847796853
SCP2	ENST00000435345.6	0.131912509139336	0.318018537841234	0.131912509139336	0.318018537841234	0.131912509139336	0.318018537841234
SCP2	ENST00000408941.7	0.0404357943172922	0.0433996920785165	0.0404357943172922	0.0433996920785165	0.0404357943172922	0.0433996920785165
JAK1	ENST00000673220.1	0.518113479548154	0.456730183141793	0.518113479548154	0.456730183141793	0.518113479548154	0.456730183141793
JAK1	ENST00000672434.2	0.309864482740667	0.357858042362444	0.309864482740667	0.357858042362444	0.309864482740667	0.357858042362444
JAK1	ENST00000673502.2	0.172022037711179	0.185411774495763	0.172022037711179	0.185411774495763	0.172022037711179	0.185411774495763
